ko,DEFINITION
K00001,E1.1.1.1, adh; alchl dehydrgenase [EC1.1.1.1]
K00371,narH, narY, nxrB; nitrate reductase / nitrite xidreductase, beta subunit [EC1.7.5.1 1.7.99.-]
K00372,nasA; assimilatry nitrate reductase catalytic subunit [EC1.7.99.-]
K00373,narJ, narW; nitrate reductase mlybdenum cfactr assembly chaperne NarJ/NarW
K00374,narI, narV; nitrate reductase gamma subunit [EC1.7.5.1 1.7.99.-]
K00375,K00375; GntR family transcriptinal regulatr / McR family amintransferase
K00376,nsZ; nitrus-xide reductase [EC1.7.2.4]
K00380,cysJ; sulfite reductase (NADPH) flavprtein alpha-cmpnent [EC1.8.1.2]
K00381,cysI; sulfite reductase (NADPH) hemprtein beta-cmpnent [EC1.8.1.2]
K00382,DLD, lpd, pdhD; dihydrlipamide dehydrgenase [EC1.8.1.4]
K00383,GSR, gr; glutathine reductase (NADPH) [EC1.8.1.7]
K00384,trxB, TRR; thiredxin reductase (NADPH) [EC1.8.1.9]
K00385,asrC; anaerbic sulfite reductase subunit C
K00387,SUOX; sulfite xidase [EC1.8.3.1]
K00389,yidH; putative membrane prtein
K00390,cysH; phsphadensine phsphsulfate reductase [EC1.8.4.8 1.8.4.10]
K00392,sir; sulfite reductase (ferredxin) [EC1.8.7.1]
K00394,aprA; adenylylsulfate reductase, subunit A [EC1.8.99.2]
K00395,aprB; adenylylsulfate reductase, subunit B [EC1.8.99.2]
K00399,mcrA; methyl-cenzyme M reductase alpha subunit [EC2.8.4.1]
K00400,K00400; methyl cenzyme M reductase system, cmpnent A2
K00401,mcrB; methyl-cenzyme M reductase beta subunit [EC2.8.4.1]
K00402,mcrG; methyl-cenzyme M reductase gamma subunit [EC2.8.4.1]
K00404,ccN; cytchrme c xidase cbb3-type subunit I [EC1.9.3.1]
K00405,ccO; cytchrme c xidase cbb3-type subunit II
K00406,ccP; cytchrme c xidase cbb3-type subunit III
K00407,ccQ; cytchrme c xidase cbb3-type subunit IV
K00408,WNT4; wingless-type MMTV integratin site family, member 4
K00410,fbcH; ubiquinl-cytchrme c reductase cytchrme b/c1 subunit
K00411,UQCRFS1, RIP1, petA; ubiquinl-cytchrme c reductase irn-sulfur subunit [EC7.1.1.8]
K00412,CYTB, petB; ubiquinl-cytchrme c reductase cytchrme b subunit
K00413,CYC1, CYT1, petC; ubiquinl-cytchrme c reductase cytchrme c1 subunit
K00414,QCR1, UQCRC1; ubiquinl-cytchrme c reductase cre subunit 1
K00415,QCR2, UQCRC2; ubiquinl-cytchrme c reductase cre subunit 2
K00416,QCR6, UQCRH; ubiquinl-cytchrme c reductase subunit 6
K00417,QCR7, UQCRB; ubiquinl-cytchrme c reductase subunit 7
K00418,QCR8, UQCRQ; ubiquinl-cytchrme c reductase subunit 8
K00419,QCR9, UCRC; ubiquinl-cytchrme c reductase subunit 9
K00420,QCR10, UQCR; ubiquinl-cytchrme c reductase subunit 10
K00422,E1.10.3.1; plyphenl xidase [EC1.10.3.1]
K00423,E1.10.3.3; L-ascrbate xidase [EC1.10.3.3]
K00424,cydX; cytchrme bd-I ubiquinl xidase subunit X [EC7.1.1.7]
K00425,cydA; cytchrme bd ubiquinl xidase subunit I [EC7.1.1.7]
K00426,cydB; cytchrme bd ubiquinl xidase subunit II [EC7.1.1.7]
K00427,lldP, lctP; L-lactate permease
K00428,E1.11.1.5; cytchrme c perxidase [EC1.11.1.5]
K00430,E1.11.1.7; perxidase [EC1.11.1.7]
K00431,TPO; thyrid perxidase [EC1.11.1.8]
K00432,gpx; glutathine perxidase [EC1.11.1.9]
K00433,cp; nn-heme chlrperxidase [EC1.11.1.10]
K00434,E1.11.1.11; L-ascrbate perxidase [EC1.11.1.11]
K00435,hemQ; hydrgen perxide-dependent heme synthase [EC1.3.98.5]
K00436,hxH; NAD-reducing hydrgenase large subunit [EC1.12.1.2]
K00437,hydB; [NiFe] hydrgenase large subunit [EC1.12.2.1]
K00440,frhA; cenzyme F420 hydrgenase subunit alpha [EC1.12.98.1]
K00441,frhB; cenzyme F420 hydrgenase subunit beta [EC1.12.98.1]
K00442,frhD; cenzyme F420 hydrgenase subunit delta
K00443,frhG; cenzyme F420 hydrgenase subunit gamma [EC1.12.98.1]
K00444,WNT5; wingless-type MMTV integratin site family, member 5
K00445,WNT6; wingless-type MMTV integratin site family, member 6
K00446,dmpB, xylE; catechl 2,3-dixygenase [EC1.13.11.2]
K00448,pcaG; prtcatechuate 3,4-dixygenase, alpha subunit [EC1.13.11.3]
K00449,pcaH; prtcatechuate 3,4-dixygenase, beta subunit [EC1.13.11.3]
K00450,E1.13.11.4; gentisate 1,2-dixygenase [EC1.13.11.4]
K00451,HGD, hmgA; hmgentisate 1,2-dixygenase [EC1.13.11.5]
K00452,HAAO; 3-hydrxyanthranilate 3,4-dixygenase [EC1.13.11.6]
K00453,TDO2, ynA; tryptphan 2,3-dixygenase [EC1.13.11.11]
K00454,LOX2S; lipxygenase [EC1.13.11.12]
K00455,hpaD, hpcB; 3,4-dihydrxyphenylacetate 2,3-dixygenase [EC1.13.11.15]
K00456,CDO1; cysteine dixygenase [EC1.13.11.20]
K00457,HPD, hppD; 4-hydrxyphenylpyruvate dixygenase [EC1.13.11.27]
K00458,ALOX12; arachidnate 12-lipxygenase [EC1.13.11.31]
K00459,ncd2, npd; nitrnate mnxygenase [EC1.13.12.16]
K00460,ALOX15; arachidnate 15-lipxygenase [EC1.13.11.33]
K00461,ALOX5; arachidnate 5-lipxygenase [EC1.13.11.34]
K00462,bphC; biphenyl-2,3-dil 1,2-dixygenase [EC1.13.11.39]
K00463,IDO, INDO; indleamine 2,3-dixygenase [EC1.13.11.52]
K00464,dix1; all-trans-8'-ap-beta-cartenal 15,15'-xygenase [EC1.13.11.75]
K00465,CCD1; cartenid 9,10(9',10')-cleavage dixygenase 1 [EC1.13.11.-]
K00466,iaaM; tryptphan 2-mnxygenase [EC1.13.12.3]
K00467,E1.13.12.4; lactate 2-mnxygenase [EC1.13.12.4]
K00468,davB; lysine 2-mnxygenase [EC1.13.12.2]
K00469,MIOX; insitl xygenase [EC1.13.99.1]
K00471,E1.14.11.1; gamma-butyrbetaine dixygenase [EC1.14.11.1]
K00472,P4HA; prlyl 4-hydrxylase [EC1.14.11.2]
K00473,PLOD1; prcllagen-lysine,2-xglutarate 5-dixygenase 1 [EC1.14.11.4]
K00474,TMLHE; trimethyllysine dixygenase [EC1.14.11.8]
K00475,F3H; naringenin 3-dixygenase [EC1.14.11.9]
K00476,ASPH; aspartate beta-hydrxylase [EC1.14.11.16]
K00477,PHYH; phytanyl-CA hydrxylase [EC1.14.11.18]
K00478,HR; [histne H3]-dimethyl-L-lysine9 demethylase [EC1.14.11.65]
K00479,gbcA; glycine betaine catablism A
K00480,E1.14.13.1; salicylate hydrxylase [EC1.14.13.1]
K00481,pbA; p-hydrxybenzate 3-mnxygenase [EC1.14.13.2]
K00483,hpaB; 4-hydrxyphenylacetate 3-mnxygenase [EC1.14.14.9]
K00484,hpaC; flavin reductase (NADH) [EC1.5.1.36]
K00485,FMO; dimethylaniline mnxygenase (N-xide frming) [EC1.14.13.8]
K00486,KMO; ynurenine 3-mnxygenase [EC1.14.13.9]
K00487,CYP73A; trans-cinnamate 4-mnxygenase [EC1.14.14.91]
K00488,CYP27A1; chlestanetril 26-mnxygenase [EC1.14.15.15]
K00489,CYP7A1; chlesterl 7alpha-mnxygenase [EC1.14.14.23]
K00490,CYP4F; cytchrme P450 family 4 subfamily F [EC1.14.14.1]
K00491,ns; nitric-xide synthase, bacterial [EC1.14.14.47]
K00492,tmuM; 1,3,7-trimethyluric acid 5-mnxygenase [EC1.14.13.212]
K00493,E1.14.14.1; unspecific mnxygenase [EC1.14.14.1]
K00494,luxA; alanal mnxygenase alpha chain [EC1.14.14.3]
K00495,CYP71AN24; phenylacetaldehyde xime mnxygenase [EC1.14.14.44]
K00496,alB1_2, alM; alane 1-mnxygenase [EC1.14.15.3]
K00497,CYP11B1; sterid 11beta-mnxygenase [EC1.14.15.4]
K00498,CYP11A; chlesterl mnxygenase (side-chain-cleaving) [EC1.14.15.6]
K00499,CMO; chline mnxygenase [EC1.14.15.7]
K00500,phhA, PAH; phenylalanine-4-hydrxylase [EC1.14.16.1]
K00501,TH; tyrsine 3-mnxygenase [EC1.14.16.2]
K00502,TPH1_2; tryptphan 5-mnxygenase [EC1.14.16.4]
K00503,DBH; dpamine beta-mnxygenase [EC1.14.17.1]
K00504,PAM, PHM; peptidylglycine mnxygenase [EC1.14.17.3]
K00505,TYR; tyrsinase [EC1.14.18.1]
K00506,TYRP1; tyrsinase-related prtein 1 [EC1.14.18.-]
K00507,SCD, desC; stearyl-CA desaturase (Delta-9 desaturase) [EC1.14.19.1]
K00508,E1.14.19.3; linleyl-CA desaturase [EC1.14.19.3]
K00509,PTGS1, COX1; prstaglandin-endperxide synthase 1 [EC1.14.99.1]
K00510,HMOX1; heme xygenase 1 [EC1.14.14.18]
K00511,SQLE, ERG1; squalene mnxygenase [EC1.14.14.17]
K00512,CYP17A; sterid 17alpha-mnxygenase / 17alpha-hydrxyprgesterne deacetylase [EC1.14.14.19 1.14.14.32]
K00513,CYP21A; sterid 21-mnxygenase [EC1.14.14.16]
K00514,ZDS, crtQ; zeta-cartene desaturase [EC1.3.5.6]
K00515,BCMO1, BCDO1; beta-cartene 15,15'-dixygenase [EC1.13.11.63]
K00516,E1.14.99.55; lytic starch mnxygenase [EC1.14.99.55]
K00517,CYP81F; indl-3-yl-methylglucsinlate hydrxylase [EC1.14.-.-]
K00518,sdN; nicel superxide dismutase [EC1.15.1.1]
K00520,merA; mercuric reductase [EC1.16.1.1]
K00521,E1.16.1.7; ferric-chelate reductase [EC1.16.1.7]
K00522,FTH1; ferritin heavy chain [EC1.16.3.2]
K00523,ascD, ddhD, rfbI; CDP-4-dehydr-6-dexyglucse reductase, E3 [EC1.17.1.1]
K00524,nrdJ; ribnucletide reductase, class II [EC1.17.4.1]
K00525,E1.17.4.1A, nrdA, nrdE; ribnucleside-diphsphate reductase alpha chain [EC1.17.4.1]
K00526,E1.17.4.1B, nrdB, nrdF; ribnucleside-diphsphate reductase beta chain [EC1.17.4.1]
K00527,rtpR; ribnucleside-triphsphate reductase (thiredxin) [EC1.17.4.2]
K00528,fpr; ferredxin/flavdxin---NADP+ reductase [EC1.18.1.2 1.19.1.1]
K00529,hcaD; 3-phenylprpinate/trans-cinnamate dixygenase ferredxin reductase cmpnent [EC1.18.1.3]
K00531,anfG; nitrgenase delta subunit [EC1.18.6.1]
K00532,E1.12.7.2; ferredxin hydrgenase [EC1.12.7.2]
K00533,E1.12.7.2L; ferredxin hydrgenase large subunit [EC1.12.7.2]
K00534,E1.12.7.2S; ferredxin hydrgenase small subunit [EC1.12.7.2]
K00537,arsC1, arsC; arsenate reductase (glutaredxin) [EC1.20.4.1]
K00540,fqr; F420H(2)-dependent quinne reductase [EC1.1.98.-]
K00541,NNMT; nictinamide N-methyltransferase [EC2.1.1.1]
K00542,GAMT; guanidinacetate N-methyltransferase [EC2.1.1.2]
K00543,ASMT; acetylsertnin O-methyltransferase [EC2.1.1.4]
K00544,BHMT; betaine-hmcysteine S-methyltransferase [EC2.1.1.5]
K00545,COMT; catechl O-methyltransferase [EC2.1.1.6]
K00546,HNMT; histamine N-methyltransferase [EC2.1.1.8]
K00547,mmuM, BHMT2; hmcysteine S-methyltransferase [EC2.1.1.10]
K00548,metH, MTR; 5-methyltetrahydrflate--hmcysteine methyltransferase [EC2.1.1.13]
K00549,metE; 5-methyltetrahydrpteryltriglutamate--hmcysteine methyltransferase [EC2.1.1.14]
K00550,PLMT; phsphatidyl-N-methylethanlamine N-methyltransferase [EC2.1.1.71]
K00551,PEMT; phsphatidylethanlamine/phsphatidyl-N-methylethanlamine N-methyltransferase [EC2.1.1.17 2.1.1.71]
K00552,GNMT; glycine N-methyltransferase [EC2.1.1.20]
K00553,PNMT; phenylethanlamine N-methyltransferase [EC2.1.1.28]
K00554,trmD; tRNA (guanine37-N1)-methyltransferase [EC2.1.1.228]
K00555,TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC2.1.1.215 2.1.1.216]
K00556,trmH; tRNA (guansine-2'-O-)-methyltransferase [EC2.1.1.34]
K00557,trmA; tRNA (uracil-5-)-methyltransferase [EC2.1.1.35]
K00558,DNMT1, dcm; DNA (cytsine-5)-methyltransferase 1 [EC2.1.1.37]
K00559,SMT1, ERG6; sterl 24-C-methyltransferase [EC2.1.1.41]
K00560,thyA, TYMS; thymidylate synthase [EC2.1.1.45]
K00561,ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC2.1.1.184]
K00562,INMT, TEMT; methyltransferase [EC2.1.1.49 2.1.1.96]
K00563,rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC2.1.1.187]
K00564,rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC2.1.1.172]
K00565,RNMT; mRNA (guanine-N7-)-methyltransferase [EC2.1.1.56]
K00566,mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC2.8.1.13]
K00567,gt, MGMT; methylated-DNA-[prtein]-cysteine S-methyltransferase [EC2.1.1.63]
K00568,ubiG; 2-plyprenyl-6-hydrxyphenyl methylase / 3-demethylubiquinne-9 3-methyltransferase [EC2.1.1.222 2.1.1.64]
K00569,TPMT, tpmT; thipurine S-methyltransferase [EC2.1.1.67]
K00570,pmtA; phsphatidylethanlamine/phsphatidyl-N-methylethanlamine N-methyltransferase [EC2.1.1.17 2.1.1.71]
K00571,E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC2.1.1.72]
K00572,WNT7; wingless-type MMTV integratin site family, member 7
K00573,E2.1.1.77, pcm; prtein-L-isaspartate(D-aspartate) O-methyltransferase [EC2.1.1.77]
K00574,cfa; cyclprpane-fatty-acyl-phsphlipid synthase [EC2.1.1.79]
K00575,cheR; chemtaxis prtein methyltransferase CheR [EC2.1.1.80]
K00577,mtrA; tetrahydrmethanpterin S-methyltransferase subunit A [EC2.1.1.86]
K00578,mtrB; tetrahydrmethanpterin S-methyltransferase subunit B [EC2.1.1.86]
K00579,mtrC; tetrahydrmethanpterin S-methyltransferase subunit C [EC2.1.1.86]
K00580,mtrD; tetrahydrmethanpterin S-methyltransferase subunit D [EC2.1.1.86]
K00581,mtrE; tetrahydrmethanpterin S-methyltransferase subunit E [EC2.1.1.86]
K00582,mtrF; tetrahydrmethanpterin S-methyltransferase subunit F [EC2.1.1.86]
K00583,mtrG; tetrahydrmethanpterin S-methyltransferase subunit G [EC2.1.1.86]
K00584,mtrH; tetrahydrmethanpterin S-methyltransferase subunit H [EC2.1.1.86]
K00586,DPH5; diphthine methyl ester synthase [EC2.1.1.314]
K00587,ICMT, STE14; prtein-S-isprenylcysteine O-methyltransferase [EC2.1.1.100]
K00588,E2.1.1.104; caffeyl-CA O-methyltransferase [EC2.1.1.104]
K00589,MET1; urprphyrin-III C-methyltransferase [EC2.1.1.107]
K00590,E2.1.1.113; site-specific DNA-methyltransferase (cytsine-N4-specific) [EC2.1.1.113]
K00591,COQ3; plyprenyldihydrxybenzate methyltransferase / 3-demethylubiquinl 3-O-methyltransferase [EC2.1.1.114 2.1.1.64]
K00592,RBCMT; [ribulse-bisphsphate carbxylase]/[fructse-bisphsphate aldlase]-lysine N-methyltransferase [EC2.1.1.127 2.1.1.259]
K00594,xyA, aldO; alditl xidase [EC1.1.3.41]
K00595,cbL; precrrin-6Y C5,15-methyltransferase (decarbxylating) [EC2.1.1.132]
K00596,E4.1.1.64; 2,2-dialylglycine decarbxylase (pyruvate) [EC4.1.1.64]
K00597,MTRR; methinine synthase reductase [EC1.16.1.8]
K00598,tam; trans-acnitate 2-methyltransferase [EC2.1.1.144]
K00599,METTL6; methyltransferase-lie prtein 6 [EC2.1.1.-]
K00600,glyA, SHMT; glycine hydrxymethyltransferase [EC2.1.2.1]
K00601,E2.1.2.2; phsphribsylglycinamide frmyltransferase [EC2.1.2.2]
K00602,purH; phsphribsylaminimidazlecarbxamide frmyltransferase / IMP cyclhydrlase [EC2.1.2.3 3.5.4.10]
K00603,fctD; glutamate frmimintransferase / 5-frmyltetrahydrflate cycl-ligase [EC2.1.2.5 6.3.3.2]
K00604,MTFMT, fmt; methinyl-tRNA frmyltransferase [EC2.1.2.9]
K00605,gcvT, AMT; aminmethyltransferase [EC2.1.2.10]
K00606,panB; 3-methyl-2-xbutanate hydrxymethyltransferase [EC2.1.2.11]
K00608,pyrBI; aspartate carbamyltransferase [EC2.1.3.2]
K00609,pyrB, PYR2; aspartate carbamyltransferase catalytic subunit [EC2.1.3.2]
K00610,pyrI; aspartate carbamyltransferase regulatry subunit
K00611,OTC, argF, argI; rnithine carbamyltransferase [EC2.1.3.3]
K00612,E2.1.3.-; carbamyltransferase [EC2.1.3.-]
K00613,GATM; glycine amidintransferase [EC2.1.4.1]
K00614,CSKMT, METTL12; citrate synthase lysine N-methyltransferase [EC2.1.1.-]
K00615,E2.2.1.1, ttA, ttB; transetlase [EC2.2.1.1]
K00616,E2.2.1.2, talA, talB; transaldlase [EC2.2.1.2]
K00618,ARG2; amin-acid N-acetyltransferase [EC2.3.1.1]
K00619,argA; amin-acid N-acetyltransferase [EC2.3.1.1]
K00620,argJ; glutamate N-acetyltransferase / amin-acid N-acetyltransferase [EC2.3.1.35 2.3.1.1]
K00621,GNPNAT1, GNA1; glucsamine-phsphate N-acetyltransferase [EC2.3.1.4]
K00622,nat; arylamine N-acetyltransferase [EC2.3.1.5]
K00623,CHAT; chline O-acetyltransferase [EC2.3.1.6]
K00624,E2.3.1.7; carnitine O-acetyltransferase [EC2.3.1.7]
K00625,E2.3.1.8, pta; phsphate acetyltransferase [EC2.3.1.8]
K00626,E2.3.1.9, atB; acetyl-CA C-acetyltransferase [EC2.3.1.9]
K00627,DLAT, aceF, pdhC; pyruvate dehydrgenase E2 cmpnent (dihydrlipamide acetyltransferase) [EC2.3.1.12]
K00628,GLYAT; glycine N-acyltransferase / glycine N-benzyltransferase [EC2.3.1.13 2.3.1.71]
K00629,GPAT1_2; glycerl-3-phsphate O-acyltransferase 1/2 [EC2.3.1.15]
K00630,ATS1; glycerl-3-phsphate O-acyltransferase [EC2.3.1.15]
K00631,plsB; glycerl-3-phsphate O-acyltransferase [EC2.3.1.15]
K00632,fadA, fadI; acetyl-CA acyltransferase [EC2.3.1.16]
K00633,lacA; galactside O-acetyltransferase [EC2.3.1.18]
K00634,ptb; phsphate butyryltransferase [EC2.3.1.19]
K00635,tgs, wax-dgat; diacylglycerl O-acyltransferase / wax synthase [EC2.3.1.20 2.3.1.75]
K00637,SOAT; sterl O-acyltransferase [EC2.3.1.26]
K00638,catB; chlramphenicl O-acetyltransferase type B [EC2.3.1.28]
K00639,bl, GCAT; glycine C-acetyltransferase [EC2.3.1.29]
K00640,cysE; serine O-acetyltransferase [EC2.3.1.30]
K00641,metX; hmserine O-acetyltransferase/O-succinyltransferase [EC2.3.1.31 2.3.1.46]
K00643,E2.3.1.37, ALAS; 5-aminlevulinate synthase [EC2.3.1.37]
K00645,fabD, MCAT, MCT1; [acyl-carrier-prtein] S-malnyltransferase [EC2.3.1.39]
K00646,psF; malnyl-ACP decarbxylase
K00647,fabB; 3-xacyl-[acyl-carrier-prtein] synthase I [EC2.3.1.41]
K00648,fabH; 3-xacyl-[acyl-carrier-prtein] synthase III [EC2.3.1.180]
K00649,GNPAT; glycernephsphate O-acyltransferase [EC2.3.1.42]
K00650,LCAT; lecithin-chlesterl acyltransferase [EC2.3.1.43]
K00651,metA; hmserine O-succinyltransferase/O-acetyltransferase [EC2.3.1.46 2.3.1.31]
K00652,biF; 8-amin-7-xnnanate synthase [EC2.3.1.47]
K00653,CDY; chrmdmain prtein Y [EC2.3.1.48]
K00654,SPT; serine palmityltransferase [EC2.3.1.50]
K00655,plsC; 1-acyl-sn-glycerl-3-phsphate acyltransferase [EC2.3.1.51]
K00656,E2.3.1.54, pflD; frmate C-acetyltransferase [EC2.3.1.54]
K00657,speG, SAT; diamine N-acetyltransferase [EC2.3.1.57]
K00658,DLST, sucB; 2-xglutarate dehydrgenase E2 cmpnent (dihydrlipamide succinyltransferase) [EC2.3.1.61]
K00659,BAAT; bile acid-CAamin acid N-acyltransferase [EC2.3.1.65 3.1.2.2]
K00660,CHS; chalcne synthase [EC2.3.1.74]
K00661,maa; maltse O-acetyltransferase [EC2.3.1.79]
K00662,aacC; aminglycside 3-N-acetyltransferase [EC2.3.1.81]
K00663,aacA; aminglycside 6'-N-acetyltransferase [EC2.3.1.82]
K00664,ATF; alchl O-acetyltransferase [EC2.3.1.84]
K00665,FASN; fatty acid synthase, animal type [EC2.3.1.85]
K00666,K00666; fatty-acyl-CA synthase [EC6.2.1.-]
K00667,FAS2; fatty acid synthase subunit alpha, fungi type [EC2.3.1.86]
K00668,FAS1; fatty acid synthase subunit beta, fungi type [EC2.3.1.86]
K00669,AANAT; arylalylamine N-acetyltransferase [EC2.3.1.87]
K00670,NAA30, MAK3; N-alpha-acetyltransferase 30 [EC2.3.1.256]
K00671,NMT; glycylpeptide N-tetradecanyltransferase [EC2.3.1.97]
K00672,ftr; frmylmethanfuran--tetrahydrmethanpterin N-frmyltransferase [EC2.3.1.101]
K00673,astA; arginine N-succinyltransferase [EC2.3.1.109]
K00674,dapD; 2,3,4,5-tetrahydrpyridine-2,6-dicarbxylate N-succinyltransferase [EC2.3.1.117]
K00675,nhA; N-hydrxyarylamine O-acetyltransferase [EC2.3.1.118]
K00677,lpxA; UDP-N-acetylglucsamine acyltransferase [EC2.3.1.129]
K00678,LRAT; phsphatidylchline-retinl O-acyltransferase [EC2.3.1.135]
K00679,E2.3.1.158; phsphlipiddiacylglycerl acyltransferase [EC2.3.1.158]
K00680,ytmI; uncharacterized N-acetyltransferase [EC2.3.1.-]
K00681,ggt; gamma-glutamyltranspeptidase / glutathine hydrlase [EC2.3.2.2 3.4.19.13]
K00682,GGCT; gamma-glutamylcycltransferase [EC4.3.2.9]
K00683,QPCT; glutaminyl-peptide cycltransferase [EC2.3.2.5]
K00684,aat; leucyl/phenylalanyl-tRNA---prtein transferase [EC2.3.2.6]
K00685,ATE1; arginyl-tRNA---prtein transferase [EC2.3.2.8]
K00686,tgl; prtein-glutamine gamma-glutamyltransferase [EC2.3.2.13]
K00687,pbp2B, penA; penicillin-binding prtein 2B
K00688,PYG, glgP; glycgen phsphrylase [EC2.4.1.1]
K00689,E2.4.1.5; dextransucrase [EC2.4.1.5]
K00690,E2.4.1.7; sucrse phsphrylase [EC2.4.1.7]
K00691,mapA; maltse phsphrylase [EC2.4.1.8]
K00692,sacB; levansucrase [EC2.4.1.10]
K00693,GYS; glycgen synthase [EC2.4.1.11]
K00694,bcsA; cellulse synthase (UDP-frming) [EC2.4.1.12]
K00695,E2.4.1.13; sucrse synthase [EC2.4.1.13]
K00696,E2.4.1.14; sucrse-phsphate synthase [EC2.4.1.14]
K00697,tsA; trehalse 6-phsphate synthase [EC2.4.1.15 2.4.1.347]
K00698,CHS1; chitin synthase [EC2.4.1.16]
K00699,UGT; glucurnsyltransferase [EC2.4.1.17]
K00700,GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC2.4.1.18]
K00701,cgt; cyclmaltdextrin glucantransferase [EC2.4.1.19]
K00702,E2.4.1.20; cellbise phsphrylase [EC2.4.1.20]
K00703,glgA; starch synthase [EC2.4.1.21]
K00704,LALBA; alpha-lactalbumin [EC2.4.1.22]
K00705,malQ; 4-alpha-glucantransferase [EC2.4.1.25]
K00706,E2.4.1.34; 1,3-beta-glucan synthase [EC2.4.1.34]
K00709,ABO; hist-bld grup ABO system transferase [EC2.4.1.40 2.4.1.37]
K00710,GALNT; plypeptide N-acetylgalactsaminyltransferase [EC2.4.1.41]
K00712,tagE; ply(glycerl-phsphate) alpha-glucsyltransferase [EC2.4.1.52]
K00713,waaD; UDP-glucse(glucsyl)LPS alpha-1,2-glucsyltransferase [EC2.4.1.-]
K00714,WNT8; wingless-type MMTV integratin site family, member 8
K00715,B3GALT4; gangliside galactsyltransferase [EC2.4.1.62]
K00716,FUT3; galactside 3(4)-fucsyltransferase 3 [EC2.4.1.65]
K00717,FUT8; glycprtein 6-alpha-L-fucsyltransferase [EC2.4.1.68]
K00718,FUT1_2; galactside 2-L-fucsyltransferase 1/2 [EC2.4.1.69]
K00719,B3GALNT1, B3GALT3; galactsylgalactsylglucsylceramide beta-D-acetylgalactsaminyltransferase [EC2.4.1.79]
K00720,UGCG; ceramide glucsyltransferase [EC2.4.1.80]
K00721,DPM1; dlichl-phsphate mannsyltransferase [EC2.4.1.83]
K00722,GBGT1; glbside alpha-N-acetylgalactsaminyltransferase [EC2.4.1.88]
K00725,B4GALNT1, GALGT; (N-Acetylneuraminyl)-galactsylglucsylceramide N-acetylgalactsaminyltransferase [EC2.4.1.92]
K00726,MGAT1; alpha-1,3-mannsyl-glycprtein beta-1,2-N-acetylglucsaminyltransferase [EC2.4.1.101]
K00727,GCNT1; beta-1,3-galactsyl-O-glycsyl-glycprtein beta-1,6-N-acetylglucsaminyltransferase [EC2.4.1.102]
K00728,POMT, pmt; dlichyl-phsphate-mannse-prtein mannsyltransferase [EC2.4.1.109]
K00729,ALG5; dlichyl-phsphate beta-glucsyltransferase [EC2.4.1.117]
K00730,OST4; ligsaccharyl transferase cmplex subunit OST4
K00731,C1GALT1; glycprtein-N-acetylgalactsamine 3-beta-galactsyltransferase [EC2.4.1.122]
K00733,B4GALT7; xylsylprtein 4-beta-galactsyltransferase [EC2.4.1.133]
K00734,B3GALT6; galactsylxylsylprtein 3-beta-galactsyltransferase [EC2.4.1.134]
K00735,B3GAT1; galactsylgalactsylxylsylprtein 3-beta-glucurnsyltransferase 1 [EC2.4.1.135]
K00736,MGAT2; alpha-1,6-mannsyl-glycprtein beta-1,2-N-acetylglucsaminyltransferase [EC2.4.1.143]
K00737,MGAT3; beta-1,4-mannsyl-glycprtein beta-1,4-N-acetylglucsaminyltransferase [EC2.4.1.144]
K00738,MGAT4A_B; alpha-1,3-mannsylglycprtein beta-1,4-N-acetylglucsaminyltransferase A/B [EC2.4.1.145]
K00739,B3GNT6; acetylgalactsaminyl-O-glycsyl-glycprtein beta-1,3-N-acetylglucsaminyltransferase [EC2.4.1.147]
K00741,B3GNT2; N-acetyllactsaminide beta-1,3-N-acetylglucsaminyltransferase [EC2.4.1.149]
K00742,GCNT2; N-acetyllactsaminide beta-1,6-N-acetylglucsaminyltransferase [EC2.4.1.150]
K00743,GGTA1; N-acetyllactsaminide 3-alpha-galactsyltransferase [EC2.4.1.87]
K00744,MGAT5; alpha-1,3(6)-mannsylglycprtein beta-1,6-N-acetyl-glucsaminyltransferase [EC2.4.1.155]
K00745,E2.4.1.166; raffinse-raffinse alpha-galacttransferase [EC2.4.1.166]
K00746,CSGALNACT1_2; chndritin sulfate N-acetylgalactsaminyltransferase 1/2 [EC2.4.1.174 2.4.1.175]
K00747,CHPF; chndritin plymerizing factr [EC2.4.1.175 2.4.1.226]
K00748,lpxB; lipid-A-disaccharide synthase [EC2.4.1.182]
K00749,E2.4.1.183; alpha-1,3-glucan synthase [EC2.4.1.183]
K00750,GYG1, GYG2; glycgenin [EC2.4.1.186]
K00752,hasA; hyalurnan synthase [EC2.4.1.212]
K00753,E2.4.1.214; glycprtein 3-alpha-L-fucsyltransferase [EC2.4.1.214]
K00754,bshA; L-malate glycsyltransferase [EC2.4.1.-]
K00756,pdp; pyrimidine-nucleside phsphrylase [EC2.4.2.2]
K00757,udp, UPP; uridine phsphrylase [EC2.4.2.3]
K00758,deA, TYMP; thymidine phsphrylase [EC2.4.2.4]
K00759,APRT, apt; adenine phsphribsyltransferase [EC2.4.2.7]
